R,VROT_DATA,VROT_DATA_ERROR
9.577,188.017,4.5535
9.585,167.46,18.9545
9.585,167.46,18.9545
9.61,144.07,6.09
9.618,192.827,15.834
9.618,192.827,15.834
9.669,220.832,6.9465
9.669,220.832,6.9465
9.834,184.67,22.909
9.834,184.67,22.909
9.869,187.174,18.1795
9.869,187.174,18.1795
10.15,197.75,11.85
10.15,174.85,11.78
10.242,198.292,21.383
10.242,198.292,21.383
10.25,142.04,6.025
10.26,184.31,13.54
10.32,152.17,7.01
10.36,168.29,5.155
10.38,135.12,10.27
10.39,155.44,6.25
10.4,214,16
10.42,194.73,13.02
10.42,217.18,6.09
10.45,182.96,17.375
10.48,167.94,4.055
10.5,249.72,13.44
10.507,187.622,11.148
10.507,187.622,11.148
10.508,143.702,26.4025
10.508,143.702,26.4025
10.57,166.9,8.055
10.701,208.617,17.7865
10.701,208.617,17.7865
10.747,170.272,38.8065
10.747,170.272,38.8065
10.91,178.67,2.53
10.97,350.982,30.703
10.97,350.982,30.703
10.97,181.99,11.315
10.997,211.471,18.716
10.997,211.471,18.716
11.04,197.1,5.495
11.12,188.01,11.6
11.2,225,18
11.2,205.63,9.815
11.29,210.95,13.27
11.3,195.921,12.5385
11.3,195.921,12.5385
11.39,122.94,2.67
11.404,149.153,41.215
11.404,149.153,41.215
11.44,261.96,11.71
11.457,219.98,30.348
11.457,219.98,30.348
11.59,207.49,7.255
11.694,201.978,24.6505
11.694,201.978,24.6505
11.745,224.305,33.041
11.745,224.305,33.041
11.839,215.606,38.7035
11.839,215.606,38.7035
11.839,215.606,38.7035
11.839,215.606,38.7035
11.841,215.109,29.355
11.841,215.109,29.355
11.92,223,21
12.022,195.996,14.9745
12.022,195.996,14.9745
12.049,219.964,16.943
12.049,219.964,16.943
12.15,73.33,6.725
12.18,244.3,4.15
12.27,193.94,6.65
12.335,203.363,10.1835
12.335,203.363,10.1835
12.465,205.838,19.461
12.465,205.838,19.461
12.51,284.3,17.5
12.52,103.42,2.605
12.6,191.23,8.625
12.656,210.216,12.3735
12.656,210.216,12.3735
12.716,182.367,18.9115
12.716,182.367,18.9115
12.72,222.5,17
12.992,231.11,19.758
12.992,231.11,19.758
13.12,229.08,12.48
13.15,200,6
13.17,148.13,11.315
13.44,218,14
13.53,271.54,15.57
13.569,190.135,43.5935
13.569,190.135,43.5935
13.61,241.58,5.92
13.685,196.967,14.567
13.685,196.967,14.567
13.78,178.3,14.205
14.26,211.374,16.7425
14.26,211.374,16.7425
14.4,225,16
14.59,251.43,25.6
14.63,131.58,10.765
15.113,259.059,19.3595
15.113,259.059,19.3595
15.6,235,25
15.705,177.105,58.432
15.705,177.105,58.432
16.05,320.7,25.27
16.083,319.194,67.6335
16.083,319.194,67.6335
16.197,198.296,64.642
16.197,198.296,64.642
16.488,213.225,70.4385
16.488,213.225,70.4385
16.88,232,20
17.76,222,33
18.64,286.46,101.18
19.52,219.5,30
20.24,202.5,34
25,188,25
26.3,189.64,6.74
27,213,25
28.26,237.99,11.54
29,220,25
29.51,209.82,9.16
31,195,25
32.04,179.14,6.65
33,200,25
33.99,170.37,6.93
35,175,25
36.49,175.92,6.62
37,206,25
38.41,191.57,11.73
39,194,25
40.42,197.59,14.12
41,218,25
42.4,192.79,5.92
43,231,25
44.49,213.22,17.17
45,213,25
45.99,179.39,11.23
47,207,25
48.06,213.03,24.72
49,200,25
49.49,178.57,17.63
51,181,25
51.39,183.31,23.58
53,195,25
53.89,157.89,19.57
55,163,25
56.89,191.76,24.35
57.98,210.72,29.81
60.92,168.02,25.67
64.73,206.47,36.27
69.31,203.62,40.89
72.96,190.53,40.98
76.95,222.72,74.37
81.13,186.29,66.53
84.9,122.25,36.46
89.35,143.95,29.49
92.44,154.66,67.23
97.41,184,72.86
100.72,108.68,40.99
